,CPB_World_Trade,CPB_World_Imports,CPB_World_IP
2020-01-01,93.1813006382752,94.2460162331364,96.6317909414629
2020-02-01,93.7564875788889,93.9170505388238,96.8236996012429
2020-03-01,90.3912140740326,89.6364133054496,93.0088065541344
2020-04-01,79.4767702932544,80.0161914254955,82.1141776698312
2020-05-01,80.3078548555999,80.4762590620202,84.3159318859762
2020-06-01,86.2007648421476,86.0403269368806,89.3766988567206
2020-07-01,90.4871553074275,89.5452308666832,92.6039749921632
2020-08-01,92.4936557215598,91.4424703131161,94.0952962030778
2020-09-01,94.7464149832396,94.0747362435551,95.5881236076164
2020-10-01,95.3502897303418,94.6569319565259,96.5923501533633
2020-11-01,97.0112995508067,96.8926338198125,97.3503188138461
2020-12-01,97.5739121599055,97.304646310121,98.0183955180699
2021-01-01,97.9397110438093,97.0314622425435,98.9150891368593
2021-02-01,97.7437628356888,97.2714359220131,98.1759855176309
2021-03-01,100.127110937194,100.756895757271,99.1718516105785
2021-04-01,100.1075345451,100.084708428645,100.125716343427
2021-05-01,98.8527677958069,99.2646597262088,99.1903189242856
2021-06-01,99.6415171980059,99.9703972214639,100.151965815763
2021-07-01,98.952981554624,98.8182702072266,100.301750764701
2021-08-01,99.8499557653811,100.057508379688,99.8920275120759
2021-09-01,99.0596795526151,99.241713360878,99.50570492597
2021-10-01,100.166465059055,99.3640796023818,100.639991249869
2021-11-01,103.157336310885,103.200182737864,101.571046778443
2021-12-01,104.401177401834,104.938686413817,102.358551420396
2022-01-01,103.054782586126,103.794778507113,102.284839707729
2022-02-01,103.233727450608,103.769860744041,102.835607802188
2022-03-01,101.441744194937,102.641935697541,102.42104623933
